tm,cdd_18,hdd_18,cdd_18_ma3,hdd_18_ma3,cdd_18_ma7,hdd_18_ma7
2010-05-05,2.6862735928295827,0.0,2.2391048617142353,0.0,0.9596163693061008,3.041829030678472
2010-05-06,0.0,2.1833277561855873,1.7621651139536152,0.7277759187285291,0.9596163693061008,2.1946440103211953
2010-05-07,0.0,2.082911536789412,0.8954245309431942,1.4220797643249998,0.9596163693061008,1.5035009131057127
2010-05-08,0.0,0.661187840223679,0.0,1.6424757110662263,0.9596163693061008,0.8311545211680406
2010-05-09,1.003956180643037,0.0,0.3346520602143457,0.914699792337697,1.1030386808265347,0.7039181618855255
2010-05-10,0.0,1.5020920975287275,0.3346520602143457,0.7210933125841356,0.898635931786269,0.9185027472467723
2010-05-11,0.0,3.998090325088471,0.3346520602143457,1.8333941408723995,0.5271756819246599,1.4896585079736968
2010-05-12,0.0,3.8568460346538966,0.0,3.1190094857570316,0.14342231152043386,2.0406365129242534
2010-05-13,0.0,2.557834834841149,0.0,3.4709237315278387,0.14342231152043386,2.0941375241607623
2010-05-14,0.0,1.0060203403039516,0.0,2.473567069932999,0.14342231152043386,1.9402959246628393
2010-05-15,0.0,1.4866923104606933,0.0,1.6835158285352645,0.14342231152043386,2.0582251346966984
2010-05-16,0.24819734733377885,0.0,0.08273244911125961,0.8309042169215483,0.03545676390482555,2.0582251346966984
2010-05-17,1.9301476357848912,0.0,0.7261149943728901,0.4955641034868978,0.3111921404455243,1.8436405493354517
2010-05-18,0.15809859658188685,0.0,0.7788145265668523,0.0,0.3337776542429367,1.272484788608527
2010-05-19,0.5925075084628091,0.0,0.8935845802765291,0.0,0.418421584023338,0.7215067836579705
2010-05-20,2.2752806466017717,0.0,1.0086289172154892,0.0,0.7434616763950197,0.3561018072520921
2010-05-21,4.1233166459687745,0.0,2.3303682670111185,0.0,1.332506911533416,0.21238461578009904
2010-05-22,0.9371071639439386,0.0,2.4452348188381614,0.0,1.4663793635254072,0.0
2010-05-23,0.0,1.5362778944654636,1.686807936637571,0.5120926314884878,1.4309225996205817,0.21946827063792337
2010-05-24,0.0,3.2361433975749367,0.31236905464797954,1.5908070973468,1.155187223079883,0.6817744702914857
2010-05-25,0.0,2.4609994729160007,0.0,2.411140254985467,1.1326017092824705,1.0333458235652002
2010-05-26,0.0,0.6388256506407473,0.0,2.1119895070438948,1.0479577795020691,1.1246066307995926
2010-05-27,0.0,0.9973087517048818,0.0,1.3657112917538765,0.7229176871303876,1.2670793096145758
2010-05-28,0.0,1.7347157493677443,0.0,1.123616717237791,0.13387245199199121,1.5148958452385393
2010-05-29,0.23576860889054174,0.0,0.07858953629684724,0.9106748336908753,0.03368122984150596,1.5148958452385393
2010-05-30,0.15082744034294748,0.0,0.1288653497444964,0.5782385831225815,0.055228007033355606,1.2954275746006159
2010-05-31,0.0,0.6856202489738656,0.1288653497444964,0.22854008299128856,0.055228007033355606,0.9310671248004628
2010-06-01,0.0,0.03419036383684926,0.05027581344764916,0.23993687093690497,0.055228007033355606,0.5843801092177269
2010-06-02,1.7548023656661123,0.0,0.5849341218887041,0.23993687093690497,0.30591405927137166,0.4931193019833344
2010-06-03,2.9237534451193667,0.0,1.5595186035951596,0.011396787945616419,0.7235931228598526,0.3506466231683513
2010-06-04,3.84197693444246,0.0,2.8401775817426462,0.0,1.272446970637347,0.10283008754438784
2010-06-05,4.5773339442857015,0.0,3.7810214412825096,0.0,1.8926705899795127,0.10283008754438784
2010-06-06,5.5592135437747,0.0,4.659508140834287,0.0,2.6652971761840485,0.10283008754438784
2010-06-07,5.792475405550409,0.0,5.30967429787027,0.0,3.4927936626912497,0.004884337690978465
2010-06-08,5.68390544034397,0.0,5.678531463223027,0.0,4.30478015416896,0.0
2010-06-09,6.2820631781831615,0.0,5.91948134135918,0.0,4.951531698814252,0.0
2010-06-10,6.456287873152043,0.0,6.140752163893058,0.0,5.456179474247492,0.0
2010-06-11,6.105366992489003,0.0,6.281239347941402,0.0,5.779520911111285,0.0
2010-06-12,1.9868445365047585,0.0,4.849499800715268,0.0,5.409450995714006,0.0
2010-06-13,4.812592717277035,0.0,4.301601415423598,0.0,5.302790877642911,0.0
2010-06-14,4.771453815931064,0.0,3.8569636899042856,0.0,5.1569306505544334,0.0
2010-06-15,5.527858726043501,0.0,5.037301753083867,0.0,5.134638262797224,0.0
2010-06-16,5.008120465045419,0.0,5.102477669006661,0.0,4.952646446634689,0.0
2010-06-17,6.519495324480115,0.0,5.685158171856345,0.0,4.9616760825387,0.0
2010-06-18,7.0456697017515175,0.0,6.191095163759017,0.0,5.096005041004773,0.0
2010-06-19,5.163176827164847,0.0,6.242780617798826,0.0,5.549766796813357,0.0
2010-06-20,5.1704547931724605,0.0,5.793100440696275,0.0,5.600889950512704,0.0
2010-06-21,4.624542911104037,0.0,4.986058177147115,0.0,5.579902678394556,0.0
2010-06-22,4.519652162954738,0.0,4.771549955743745,0.0,5.4358731693818765,0.0
2010-06-23,5.036780221802857,0.0,4.72699176528721,0.0,5.439967420347224,0.0
2010-06-24,5.819432385589039,0.0,5.125288256782212,0.0,5.339958429077071,0.0
2010-06-25,7.21905438799914,0.0,6.025088998463679,0.0,5.3647276699695885,0.0
2010-06-26,5.953647038920543,0.0,6.3307112708362405,0.0,5.4776519859346875,0.0
2010-06-27,4.626228318953551,0.0,5.932976581957745,0.0,5.399905346760558,0.0
2010-06-28,5.765445414497734,0.0,5.448440257457276,0.0,5.562891418673943,0.0
2010-06-29,6.121971514737609,0.0,5.504548416062964,0.0,5.791794183214354,0.0
2010-06-30,5.7671987557285505,0.0,5.884871894987964,0.0,5.896139688060882,0.0
2010-07-01,7.363300830281027,0.0,6.417490366915729,0.0,6.116692323016879,0.0
2010-07-02,6.864727967755567,0.0,6.665075851255048,0.0,6.066074262982083,0.0
2010-07-03,6.614779842752128,0.0,6.947602880262907,0.0,6.160521806386596,0.0
2010-07-04,7.166824646041469,0.0,6.882110818849721,0.0,6.523464138827726,0.0
2010-07-05,7.449819927148919,0.0,7.0771414719808385,0.0,6.7640890692064675,0.0
2010-07-06,8.15090893981283,0.0,7.589184504334406,0.0,7.053937272788642,0.0
2010-07-07,7.174191861590007,0.0,7.591640242850585,0.0,7.254936287911706,0.0
2010-07-08,6.2979490817759185,0.0,7.207683294392918,0.0,7.102743180982405,0.0
2010-07-09,7.0400327692403195,0.0,6.837391237535415,0.0,7.1277867240516555,0.0
2010-07-10,7.54222473479809,0.0,6.960068861938109,0.0,7.260278851486793,0.0
2010-07-11,5.252724533019105,0.0,6.611660679019171,0.0,6.986835978197884,0.0
2010-07-12,6.402959157264185,0.0,6.39930280836046,0.0,6.837284439642922,0.0
2010-07-13,6.61904784151513,0.0,6.09157717726614,0.0,6.618447139886108,0.0
2010-07-14,6.679679297903327,0.0,6.5672287655608805,0.0,6.547802487930867,0.0
2010-07-15,7.331930274857683,0.0,6.876885804758714,0.0,6.695514086942548,0.0
2010-07-16,6.337560231315152,0.0,6.78305660135872,0.0,6.5951608672389535,0.0
2010-07-17,6.616897930238096,0.0,6.762129478803644,0.0,6.462971323730382,0.0
2010-07-18,8.775410493449677,0.0,7.243289551667641,0.0,6.9662121752204635,0.0
2010-07-19,9.44061840142816,0.0,8.277642275038644,0.0,7.400163495815318,0.0
2010-07-20,10.427795282358524,0.0,9.54794139241212,0.0,7.94427027307866,0.0
2010-07-21,10.103521859931512,0.0,9.9906451812394,0.0,8.433390639082686,0.0
2010-07-22,9.819171593224148,0.0,10.116829578504728,0.0,8.788710827420752,0.0
2010-07-23,7.529661269832587,0.0,9.150784907662748,0.0,8.959010975780386,0.0
2010-07-24,8.032359913853242,0.0,8.460397592303325,0.0,9.16121983058255,0.0
2010-07-25,8.218780013708997,0.0,7.926933732464942,0.0,9.081701190619595,0.0
2010-07-26,8.30810717807816,0.0,8.186415701880133,0.0,8.919913872998167,0.0
2010-07-27,9.065648656398967,0.0,8.530845282728707,0.0,8.725321497861087,0.0
2010-07-28,8.054932786593351,0.0,8.476229540356826,0.0,8.432665915955637,0.0
2010-07-29,8.669988761506161,0.0,8.596856734832826,0.0,8.268496939995924,0.0
2010-07-30,8.902297487278481,0.0,8.542406345125999,0.0,8.46458782820248,0.0
2010-07-31,9.368122502829099,0.0,8.980136250537914,0.0,8.65541105519903,0.0
2010-08-01,10.338403543961963,0.0,9.536274511356515,0.0,8.95821441666374,0.0
2010-08-02,9.51593822993443,0.0,9.740821425575165,0.0,9.130761709786066,0.0
2010-08-03,8.98440661754314,0.0,9.612916130479844,0.0,9.119155704235231,0.0
2010-08-04,10.396777286871739,0.0,9.632374044783104,0.0,9.453704918560716,0.0
2010-08-05,11.314553350637777,0.0,10.231912418350886,0.0,9.831499859865232,0.0
2010-08-06,10.222831988397399,0.0,10.644720875302305,0.0,10.020147645739366,0.0
2010-08-07,9.192623448733684,0.0,10.24333626258962,0.0,9.995076352297161,0.0
2010-08-08,9.731790235132184,0.0,9.715748557421088,0.0,9.908417308178624,0.0
2010-08-09,10.676087540843248,0.0,9.866833741569705,0.0,10.074152924022739,0.0
2010-08-10,8.886873359246596,0.0,9.764917045074009,0.0,10.060219601408946,0.0
2010-08-11,9.64676034361299,0.0,9.736573747900945,0.0,9.953074323800553,0.0
2010-08-12,7.781183486722689,0.0,8.771605729860758,0.0,9.448307200384113,0.0
2010-08-13,8.502470257444472,0.0,8.643471362593383,0.0,9.202541238819409,0.0
2010-08-14,9.120108924229545,0.0,8.467920889465569,0.0,9.192182021033103,0.0
2010-08-15,8.93760090780549,0.0,8.853393363159835,0.0,9.078726402843575,0.0
2010-08-16,7.372957456405683,0.0,8.476889096146905,0.0,8.606850676495352,0.0
2010-08-17,8.380969363048663,0.0,8.230509242419945,0.0,8.534578677038505,0.0
2010-08-18,8.774175991265736,0.0,8.176034270240027,0.0,8.409923769560324,0.0
2010-08-19,10.473455296026358,0.0,9.209533550113585,0.0,8.794534028032277,0.0
2010-08-20,10.56981911512359,0.0,9.939150134138561,0.0,9.089869579129296,0.0
2010-08-21,10.801724629345653,0.0,10.6149996801652,0.0,9.330100394145882,0.0
2010-08-22,11.021146633996647,0.0,10.797563459488629,0.0,9.627749783601761,0.0
2010-08-23,9.318874968410768,0.0,10.380582077251022,0.0,9.905737999602488,0.0
2010-08-24,7.9191443086190105,0.0,9.419721970342142,0.0,9.839762991826822,0.0
2010-08-25,6.131793786505732,0.0,7.78993768784517,0.0,9.462279819718251,0.0
2010-08-26,7.8290899262814655,0.0,7.293342673802069,0.0,9.084513338326122,0.0
2010-08-27,8.989437049092828,0.0,7.650106920626675,0.0,8.8587444717503,0.0
2010-08-28,8.734390871932657,0.0,8.51763928243565,0.0,8.563411077834157,0.0
2010-08-29,7.310503112044469,0.0,8.344777011023318,0.0,8.033319146126704,0.0
2010-08-30,8.219381799301605,0.0,8.088091927759576,0.0,7.876248693396824,0.0
2010-08-31,7.610252160191237,0.0,7.7133790238457705,0.0,7.832121243621428,0.0
2010-09-01,9.118014649158521,0.0,8.315882869550455,0.0,8.258724224000398,0.0
2010-09-02,7.5483573076122354,0.0,8.092208038987332,0.0,8.218619564190506,0.0
2010-09-03,8.73662657639709,0.0,8.467666177722615,0.0,8.18250378237683,0.0
2010-09-04,9.405433443161947,0.0,8.563472442390424,0.0,8.278367006838158,0.0
2010-09-05,8.555952917655265,0.0,8.8993376457381,0.0,8.4562884076397,0.0
2010-09-06,7.327060830990508,0.0,8.42948239726924,0.0,8.328813983595257,0.0
2010-09-07,7.2437697485765895,0.0,7.708927832407454,0.0,8.276459353364594,0.0
2010-09-08,4.848640782049653,0.0,6.473157120538917,0.0,7.666548800920471,0.0
2010-09-09,4.530718417134182,0.0,5.541042982586808,0.0,7.235457530852178,0.0
2010-09-10,7.288330825926337,0.0,5.555896675036724,0.0,7.028558137927782,0.0
2010-09-11,6.741463212620001,0.0,6.18683748522684,0.0,6.647990962136077,0.0
2010-09-12,5.897230372059216,0.0,6.642341470201852,0.0,6.268173455622354,0.0
2010-09-13,5.788806601104675,0.0,6.142500061927964,0.0,6.048422851352951,0.0
2010-09-14,5.700359627051121,0.0,5.795465533405004,0.0,5.827935691135027,0.0
2010-09-15,5.896517884174763,0.0,5.795228037443519,0.0,5.977632420010041,0.0
2010-09-16,5.8983278197301985,0.0,5.831735110318694,0.0,6.173005191809472,0.0
2010-09-17,5.932443670048791,0.0,5.909096457984584,0.0,5.9793070266841095,0.0
2010-09-18,6.545399714219329,0.0,6.125390401332773,0.0,5.951297955484013,0.0
2010-09-19,4.113428103669843,0.0,5.530423829312654,0.0,5.696469059999818,0.0
2010-09-20,5.2363596255466405,0.0,5.298395814478604,0.0,5.617548063491526,0.0
2010-09-21,6.514692762835171,0.0,5.288160164017218,0.0,5.733881368603534,0.0
2010-09-22,0.1522825236036489,0.0,3.9677783039951535,0.0,4.913276317093374,0.0
2010-09-23,0.0,0.1844244535942714,2.2223250954796065,0.061474817864757135,4.070658057131918,0.026346350513467343
2010-09-24,0.1443022526912614,0.0,0.09886159209830343,0.061474817864757135,3.243780711795128,0.026346350513467343
2010-09-25,0.5658285392099813,0.0,0.23671026396708092,0.061474817864757135,2.3895562582223637,0.026346350513467343
2010-09-26,0.4604024561410185,0.0,0.3901777493474204,0.0,1.8676954514325317,0.026346350513467343
2010-09-27,0.6590992148851278,0.0,0.5617767367453759,0.0,1.2138011070523156,0.026346350513467343
2010-09-28,0.0,1.1762323117743456,0.3731672236753821,0.3920774372581152,0.28313071236157683,0.19437953790980242
2010-09-29,0.0,3.650076750448081,0.2196997382950426,1.6087696874074755,0.26137606613248415,0.7158190736880997
2010-09-30,0.0,2.5883631208584017,0.0,2.471557394360276,0.26137606613248415,1.0592388832972612
2010-10-01,0.0,1.4299350066967484,0.0,2.55612495933441,0.2407614586051611,1.263515312825368
2010-10-02,0.0,0.08599941451827675,0.0,1.3680991806911422,0.15992881014659233,1.2758009434708362
2010-10-03,0.8152047465829604,0.0,0.27173491552765344,0.5053114737383417,0.21061485163829832,1.2758009434708362
2010-10-04,0.0,2.5322310567973236,0.27173491552765344,0.8727434904385335,0.11645782094042291,1.6375482372990253
2010-10-05,0.0,2.2207929397585424,0.27173491552765344,1.5843413321852886,0.11645782094042291,1.7867711841539105
2010-10-06,0.0,1.4677471697591926,0.0,2.073590388771686,0.11645782094042291,1.4750098154840694
2010-10-07,0.0,0.20611477041598647,0.0,1.2982182933112405,0.11645782094042291,1.1346886225637243
2010-10-08,0.832689187944176,0.0,0.2775630626480587,0.557953980058393,0.23541341921816233,0.9304121930356174
2010-10-09,1.0385333353815263,0.0,0.6237408411085674,0.06870492347199549,0.3837753242726661,0.9181265623901493
2010-10-10,0.5016432427120598,0.0,0.7909552553459207,0.0,0.3389808237196803,0.9181265623901493
2010-10-11,0.22108232325392407,0.0,0.5870863004491701,0.0,0.3705640127559552,0.5563792685619602
2010-10-12,0.0,0.7302475790381671,0.2409085219886613,0.24341585967938903,0.3705640127559552,0.343444217030478
2010-10-13,0.0,1.5901235133671356,0.07369410775130802,0.7734570308017675,0.3705640127559552,0.36092655183161276
2010-10-14,0.0,1.8624975547189777,0.0,1.3942895490414269,0.3705640127559552,0.5975526638748972
2010-10-15,0.0,3.8140356577700203,0.0,2.4222189086187114,0.25160841447821575,1.1424149006991857
2010-10-16,0.0,2.2257801134404644,0.0,2.6341044419764876,0.10324650942371198,1.4603834883335378
2010-10-17,0.0,2.2178502367958597,0.0,2.7525553360021147,0.03158318903627487,1.7772192364472321
2010-10-18,0.0,3.2900147807612914,0.0,2.5778817103325387,0.0,2.2472213479845595
2010-10-19,0.0,1.9129701031755317,0.0,2.4736117069108943,0.0,2.4161817085756114
2010-10-20,0.0,2.148594620132309,0.0,2.4505265013563773,0.0,2.49596329525635
2010-10-21,0.0,1.9787796126453259,0.0,2.0134481119843888,0.0,2.5125750178172575
2010-10-22,0.0,1.3085088811855066,0.0,1.8119610379877138,0.0,2.154642621162327
2010-10-23,0.0,1.7832316572843112,0.0,1.6901733837050479,0.0,2.0914214131400195
2010-10-24,0.0,1.0336172742927054,0.0,1.375119270920841,0.0,1.9222452756395687
2010-10-25,0.0,5.57779490029886,0.0,2.7982146106252923,0.0,2.2490710070020787
2010-10-26,0.0,12.590625807051623,0.0,6.400679327214395,0.0,3.7744503932700915
2010-10-27,0.0,11.135202210340061,0.0,9.767874305896848,0.0,5.058251477585485
2010-10-28,0.0,10.030162943907348,0.0,11.251996987099679,0.0,6.208449096337203
2010-10-29,0.0,8.073653961129612,0.0,9.746339705125672,0.0,7.174898393472074
2010-10-30,0.0,6.05795008225766,0.0,8.053922329098206,0.0,7.785572454182552
2010-10-31,0.0,6.002376518207251,0.0,6.711326853864841,0.0,8.495395203313203
2010-11-01,0.0,6.190215593713058,0.0,6.083514064725989,0.0,8.582883873800943
2010-11-02,0.0,10.48977167993787,0.0,7.5607879306193935,0.0,8.282761855641837
2010-11-03,0.0,10.56881502067102,0.0,9.082934098107316,0.0,8.201849399974831
2010-11-04,0.0,7.992667662740514,0.0,9.683751454449801,0.0,7.910778645522426
