tm,ip_total
2012-12-07,88.0
2012-12-08,88.0
2012-12-09,88.0
2012-12-10,88.0
2012-12-11,88.0
2012-12-12,88.0
2012-12-13,88.0
2012-12-14,88.0
2012-12-15,88.0
2012-12-16,88.0
2012-12-17,88.0
2012-12-18,88.0
2012-12-19,88.0
2012-12-20,88.0
2012-12-21,88.0
2012-12-22,88.0
2012-12-23,88.0
2012-12-24,88.0
2012-12-25,88.0
2012-12-26,88.0
2012-12-27,88.0
2012-12-28,88.0
2012-12-29,88.0
2012-12-30,88.0
2012-12-31,88.0
2013-01-01,90.2
2013-01-02,90.2
2013-01-03,90.2
2013-01-04,90.2
2013-01-05,90.2
2013-01-06,90.2
2013-01-07,90.2
2013-01-08,90.2
2013-01-09,90.2
2013-01-10,90.2
2013-01-11,90.2
2013-01-12,90.2
2013-01-13,90.2
2013-01-14,90.2
2013-01-15,90.2
2013-01-16,90.2
2013-01-17,90.2
2013-01-18,90.2
2013-01-19,90.2
2013-01-20,90.2
2013-01-21,90.2
2013-01-22,90.2
2013-01-23,90.2
2013-01-24,90.2
2013-01-25,90.2
2013-01-26,90.2
2013-01-27,90.2
2013-01-28,90.2
2013-01-29,90.2
2013-01-30,90.2
2013-01-31,90.2
2013-02-01,96.6
2013-02-02,96.6
2013-02-03,96.6
2013-02-04,96.6
2013-02-05,96.6
2013-02-06,96.6
2013-02-07,96.6
2013-02-08,96.6
2013-02-09,96.6
2013-02-10,96.6
2013-02-11,96.6
2013-02-12,96.6
2013-02-13,96.6
2013-02-14,96.6
2013-02-15,96.6
2013-02-16,96.6
2013-02-17,96.6
2013-02-18,96.6
2013-02-19,96.6
2013-02-20,96.6
2013-02-21,96.6
2013-02-22,96.6
2013-02-23,96.6
2013-02-24,96.6
2013-02-25,96.6
2013-02-26,96.6
2013-02-27,96.6
2013-02-28,96.6
2013-03-01,88.0
2013-03-02,88.0
2013-03-03,88.0
2013-03-04,88.0
2013-03-05,88.0
2013-03-06,88.0
2013-03-07,88.0
2013-03-08,88.0
2013-03-09,88.0
2013-03-10,88.0
2013-03-11,88.0
2013-03-12,88.0
2013-03-13,88.0
2013-03-14,88.0
2013-03-15,88.0
2013-03-16,88.0
2013-03-17,88.0
2013-03-18,88.0
2013-03-19,88.0
2013-03-20,88.0
2013-03-21,88.0
2013-03-22,88.0
2013-03-23,88.0
2013-03-24,88.0
2013-03-25,88.0
2013-03-26,88.0
2013-03-27,88.0
2013-03-28,88.0
2013-03-29,88.0
2013-03-30,88.0
2013-03-31,88.0
2013-04-01,83.5
2013-04-02,83.5
2013-04-03,83.5
2013-04-04,83.5
2013-04-05,83.5
2013-04-06,83.5
2013-04-07,83.5
2013-04-08,83.5
2013-04-09,83.5
2013-04-10,83.5
2013-04-11,83.5
2013-04-12,83.5
2013-04-13,83.5
2013-04-14,83.5
2013-04-15,83.5
2013-04-16,83.5
2013-04-17,83.5
2013-04-18,83.5
2013-04-19,83.5
2013-04-20,83.5
2013-04-21,83.5
2013-04-22,83.5
2013-04-23,83.5
2013-04-24,83.5
2013-04-25,83.5
2013-04-26,83.5
2013-04-27,83.5
2013-04-28,83.5
2013-04-29,83.5
2013-04-30,83.5
2013-05-01,91.1
2013-05-02,91.1
2013-05-03,91.1
2013-05-04,91.1
2013-05-05,91.1
2013-05-06,91.1
2013-05-07,91.1
2013-05-08,91.1
2013-05-09,91.1
2013-05-10,91.1
2013-05-11,91.1
2013-05-12,91.1
2013-05-13,91.1
2013-05-14,91.1
2013-05-15,91.1
2013-05-16,91.1
2013-05-17,91.1
2013-05-18,91.1
2013-05-19,91.1
2013-05-20,91.1
2013-05-21,91.1
2013-05-22,91.1
2013-05-23,91.1
2013-05-24,91.1
2013-05-25,91.1
2013-05-26,91.1
2013-05-27,91.1
2013-05-28,91.1
2013-05-29,91.1
2013-05-30,91.1
2013-05-31,91.1
2013-06-01,90.1
2013-06-02,90.1
2013-06-03,90.1
2013-06-04,90.1
2013-06-05,90.1
2013-06-06,90.1
2013-06-07,90.1
2013-06-08,90.1
2013-06-09,90.1
2013-06-10,90.1
2013-06-11,90.1
2013-06-12,90.1
2013-06-13,90.1
2013-06-14,90.1
2013-06-15,90.1
2013-06-16,90.1
2013-06-17,90.1
2013-06-18,90.1
2013-06-19,90.1
2013-06-20,90.1
2013-06-21,90.1
2013-06-22,90.1
