년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),최소전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,최소전력기준일시
2019,05,04,119826,80918,55891,-,25027,44.8,2019/05/04(21:00),-
2019,05,05,119826,79335,54877,-,24458,44.6,2019/05/05(21:00),-
2019,05,06,119826,81530,59232,-,22298,37.6,2019/05/06(21:00),-
2019,05,07,119826,79503,64119,-,15384,24,2019/05/07(21:00),-
2019,05,08,119826,78364,65191,-,13173,20.2,2019/05/08(17:00),-
2019,05,09,119826,80556,64637,-,15919,24.6,2019/05/09(20:00),-
2019,05,10,119826,81679,65051,-,16628,25.6,2019/05/10(17:00),-
2019,05,11,119826,79703,56737,-,22966,40.5,2019/05/11(21:00),-
2019,05,12,119826,79573,55971,-,23602,42.2,2019/05/12(21:00),-
2019,05,13,119826,80443,66385,-,14058,21.2,2019/05/13(17:00),-
2019,05,14,119826,80697,66716,-,13981,21,2019/05/14(17:00),-
2019,05,15,119826,80361,68076,-,12285,18,2019/05/15(17:00),-
2019,05,16,119826,83421,69631,-,13790,19.8,2019/05/16(17:00),-
2019,05,17,119826,85369,69583,-,15786,22.7,2019/05/17(17:00),-
2019,05,18,119826,86935,58102,-,28833,49.6,2019/05/18(21:00),-
2019,05,19,119826,85663,57545,-,28118,48.9,2019/05/19(21:00),-
2019,05,20,119826,85532,64838,-,20694,31.9,2019/05/20(10:00),-
2019,05,21,119826,84904,65571,-,19333,29.5,2019/05/21(17:00),-
2019,05,22,119826,85640,66689,-,18951,28.4,2019/05/22(17:00),-
2019,05,23,119826,85870,68535,-,17335,25.3,2019/05/23(17:00),-
2019,05,24,119826,86270,70964,-,15306,21.6,2019/05/24(17:00),-
2019,05,25,119826,82940,58952,-,23988,40.7,2019/05/25(21:00),-
2019,05,26,119826,81999,57613,-,24386,42.3,2019/05/26(21:00),-
2019,05,27,119826,86044,69700,-,16344,23.4,2019/05/27(15:00),-
2019,05,28,119826,85268,66168,-,19100,28.9,2019/05/28(17:00),-
2019,05,29,119826,85854,67474,-,18380,27.2,2019/05/29(17:00),-
2019,05,30,119826,85645,68850,-,16795,24.4,2019/05/30(17:00),-
2019,05,31,119826,87936,64992,-,22944,35.3,2019/05/31(17:00),-
2019,06,01,119826,88112,56860,-,31252,55,2019/06/01(21:00),-
2019,06,02,119826,87594,56758,-,30836,54.3,2019/06/02(21:00),-
2019,06,03,119826,88900,69235,-,19665,28.4,2019/06/03(17:00),-
2019,06,04,119826,90564,70611,-,19953,28.3,2019/06/04(17:00),-
2019,06,05,119826,90898,70897,-,20001,28.2,2019/06/05(17:00),-
2019,06,06,119826,90589,65996,-,24593,37.3,2019/06/06(15:00),-
2019,06,07,119826,92817,65956,-,26861,40.7,2019/06/07(15:00),-
2019,06,08,119826,88149,57222,-,30927,54,2019/06/08(21:00),-
2019,06,09,119826,87928,56627,-,31301,55.3,2019/06/09(21:00),-
2019,06,10,119826,87694,67097,-,20597,30.7,2019/06/10(17:00),-
2019,06,11,119826,88715,67125,-,21590,32.2,2019/06/11(17:00),-
2019,06,12,120471,88232,68360,-,19872,29.1,2019/06/12(17:00),-
2019,06,13,120471,88551,69302,-,19249,27.8,2019/06/13(16:00),-
2019,06,14,120471,88949,70094,-,18855,26.9,2019/06/14(17:00),-
