tm,actual,pred,ci_low,ci_high,rolling
2025-04-15,68752,72685.29653340766,66966.96424212951,78891.91920134443,70265.84684398133
2025-04-16,67535,70422.6299657227,64876.87897220802,76442.43819764498,67159.38151499975
2025-04-17,67939,71782.64656630384,66125.55867763924,77923.70228858764,69054.02180430098
2025-04-18,66383,69792.95137959027,64289.36073762148,75767.6854519314,66725.08462542786
2025-04-19,60286,61144.50028400884,56320.44044107025,66381.75919261528,58623.30898478884
2025-04-20,58683,59236.00610656051,54560.42305298584,64312.26561511143,58313.254816738314
2025-04-21,67710,68839.17341933429,63403.37575982684,74741.00140989278,67874.48099636586
2025-04-22,69713,70022.77636627802,64491.40039222415,76028.57404586567,68618.97715088993
2025-04-23,67083,67894.84937239953,62526.2493832598,73724.40561795447,67231.34242456954
2025-04-24,66740,68570.46546548419,63144.31954752874,74462.89338210435,67282.54453598599
2025-04-25,64865,67336.21850341027,62004.48088401875,73126.4298594856,65693.40657126915
2025-04-26,57963,58887.07394588646,54221.92926237386,63953.598204308604,57172.17715809017
2025-04-27,57477,57927.453671062685,53336.22937333748,62913.894143603575,56977.968805679884
2025-04-28,66068,67968.07633936855,62578.796093424135,73821.48091148194,67138.65083910958
2025-04-29,66232,68839.060194285,63378.57870176435,74769.99808928302,67230.87131987936
2025-04-30,65333,67558.61321781277,62194.32554136066,73385.57304361717,65240.32265549952
2025-05-01,61111,70988.99704013133,65347.98174587084,77116.96009773407,68660.61914496301
2025-05-02,61909,68115.85625500456,62699.781444508255,73999.77745470805,60821.60370294285
2025-05-03,57168,61643.964931766095,56739.89759134737,66971.89409605651,57393.03648857962
2025-05-04,55754,58566.72746502026,53905.289324990146,63631.26158701098,55239.89649261701
2025-05-05,57374,64221.99892571594,59108.2598148387,69778.15213871755,61454.55333828257
2025-05-06,59717,64458.61776046842,59323.978544205864,70037.67288625288,59037.73543756411
2025-05-07,65492,69563.56091421194,64016.653203922644,75591.09645501987,65396.40081867348
2025-05-08,66515,69358.94845101822,63824.030167018966,75373.86338095758,64683.89011250405
2025-05-09,69578,70214.98125277447,64608.20581188031,76308.31920456926,67923.74359513856
2025-05-10,59775,61438.941841519154,56530.30594764932,66773.80409193657,60578.53304263289
2025-05-11,58905,59376.74989395733,54630.607490070484,64535.22283475184,57892.888281204694
2025-05-12,67736,68000.90349459578,62563.03322941333,73911.42400537171,66372.89823539095
2025-05-13,68714,68957.16891157418,63440.56589194073,74953.47933054052,68412.2899230436
2025-05-14,68653,69025.95521808039,63498.188767576605,75034.9354248247,68283.0097918405
2025-05-15,69998,71115.68230440807,65416.050261814395,77311.91732579583,70108.70119696471
2025-05-16,72857,70364.3473453825,64721.30671829407,76499.40380363415,69454.10878261963
2025-05-17,61203,59691.55170183613,54901.81834037608,64899.15001508434,60612.17608897417
2025-05-18,58594,57582.2713890368,52959.54041851059,62608.51117888036,58363.58015581951
2025-05-19,68353,68220.62518770604,62741.39755759288,74178.35563400268,68535.75437005094
2025-05-20,72893,73392.61657976804,67495.52193736722,79804.94133260056,73107.52817211406
2025-05-21,74239,74476.55880072771,68486.17104262723,80990.91723708477,73581.10528247114
2025-05-22,71622,71975.32812187907,66181.47226740104,78276.40698775879,70986.88089632319
2025-05-23,67177,68675.39474119282,63143.56732383466,74691.84974410529,68650.1331683951
2025-05-24,58828,60533.27221454178,55654.57619168779,65839.63612226893,59226.06369048571
2025-05-25,58337,58045.432022830355,53364.92303768155,63136.45718814097,56595.22556742886
2025-05-26,68026,68293.08573409056,62783.74588268859,74285.87596220247,67937.11833161794
2025-05-27,69448,69210.03074028666,63624.327668335296,75286.11351370456,68600.89201324258
2025-05-28,68575,68929.43760500471,63360.559703086736,74987.7745841751,68665.91514718308
2025-05-29,69244,69290.2930834463,63687.707492730864,75385.73618995275,68343.29444532542
2025-05-30,67178,67928.99095080417,62432.8358659646,73908.98951796547,67524.37226558519
2025-05-31,59788,59585.71928166972,54761.88592076852,64834.47168804372,58653.70872278836
2025-06-01,60283,59377.56419091685,54568.152640154374,64610.85740791677,59467.0987331524
2025-06-02,69209,70003.90332084084,64331.15458803946,76176.87746373429,70169.42629983665
2025-06-03,62134,63503.32828670498,58355.10207750632,69105.74328415864,62756.257181621484
2025-06-04,68127,68896.23235067366,63304.901295829295,74981.41115387437,67351.38627002382
2025-06-05,68191,70387.0126272972,64669.99189174577,76609.43509763523,69225.9495746126
2025-06-06,63003,64860.15452984435,59588.49745993562,70598.18295408037,63136.511748476536
2025-06-07,61690,63080.531063798546,57950.56017276882,68664.62355890515,61546.59540594253
2025-06-08,63953,63700.52589127926,58517.46853984715,69342.66126126821,62574.47188736911
2025-06-09,74569,74161.8311549937,68124.72148861966,80733.94033883243,73602.14715143593
2025-06-10,73235,73452.68618492736,67470.6370327882,79965.11290029032,73267.65503893295
2025-06-11,70733,72310.41528609757,66415.11291334184,78729.01105611917,71762.87894965486
2025-06-12,73440,75226.30540828627,69088.16614456197,81909.7877564114,73133.49664770375
2025-06-13,73842,73221.69360080137,67243.04717606684,79731.90744511462,71708.88516775487
