tm,actual,arimax_oneshot,ci_low,ci_high,sarima_oneshot,naive,snaive,arimax_rolling
2025-05-12,67736,69715.82924594443,61109.50744207122,78322.15104981765,78826.67660067003,58905,57374,65342.99554580691
2025-05-13,68714,69553.51694480078,60945.58737862813,78161.44651097343,78781.11191398944,67736,59717,68599.02266569485
2025-05-14,68653,69258.90833880732,60588.55261474015,77929.2640628745,77626.50820603201,68714,65492,68775.60875010904
2025-05-15,69998,71971.56272341119,63268.99562059362,80674.12982622876,79362.54708367631,68653,66515,68727.80754778774
2025-05-16,72857,72281.35426472014,63561.38654728832,81001.32198215196,78657.49013331193,69998,69578,69597.35889824435
2025-05-17,61203,59028.91539757113,50299.49034876209,67758.34044638017,68557.8925599156,72857,59775,61153.88486107966
2025-05-18,58594,57021.37806918018,48286.77676079398,65755.97937756637,67482.65044892921,61203,58905,58985.324674834235
2025-05-19,68353,70252.64348646722,61515.184661933476,78990.10231100097,78901.71326901647,58594,67736,67561.40788952404
2025-05-20,72893,74745.88355358348,66006.83030273468,83484.93680443228,78856.14858233588,68353,68714,73865.44751161593
2025-05-21,74239,74879.9547809503,66079.33377142897,83680.57579047163,77701.54487437845,72893,68653,73625.19048626126
2025-05-22,71622,73559.82089752765,64727.412409922654,82392.22938513264,79437.58375202275,74239,69998,70494.56055483143
2025-05-23,67177,70814.55135508324,61964.960228728625,79664.14248143786,78732.52680165837,71622,72857,68975.70183395666
2025-05-24,58828,60200.35555853269,51341.41822591774,69059.29289114763,68632.92922826204,67177,61203,59401.46528612801
2025-05-25,58337,57567.17255324068,48703.114681415405,66431.23042506595,67557.68711727565,58828,58594,56795.39448030371
2025-05-26,68026,70699.89368223323,61833.00546554467,79566.78189892179,78976.74993736291,58337,68353,67522.47694551497
2025-05-27,69448,70514.94134014094,61646.47133430147,79383.41134598042,78931.18525068232,68026,72893,68789.71583145142
2025-05-28,68575,69402.17996828207,60472.96386926156,78331.39606730259,77776.58154272489,69448,74239,68876.9188593999
2025-05-29,69244,70773.72887455553,61813.131047217285,79734.32670189376,79512.62042036919,68575,71622,67838.645682843
2025-05-30,67178,70481.79463651658,61504.222724643274,79459.3665483899,78807.56347000481,69244,67177,68279.47099380082
2025-05-31,59788,59475.25297920438,50488.4410938739,68462.06486453486,68707.96589660848,67178,58828,58759.819244341605
2025-06-01,60283,60225.9727504045,51234.093518983485,69217.85198182552,67632.72378562209,59788,58337,61111.06382959772
2025-06-02,69209,72990.53992383539,63995.856227175536,81985.22362049524,79051.78660570935,60283,68026,69425.35213662422
2025-06-03,62134,65718.97372302056,56722.72022577231,74715.22722026882,79006.22191902876,69209,69448,63420.39427967192
2025-06-04,68127,70175.531889899,61119.31974839897,79231.74403139901,77851.61821107133,62134,68575,67725.63916824853
2025-06-05,68191,72779.61375576534,63692.40871935064,81866.81879218004,79587.65708871563,68127,69244,69285.27968834211
2025-06-06,63003,68569.051047646,59465.07169895942,77673.03039633259,78882.60013835125,68191,67178,63922.759081227035
2025-06-07,61690,64278.7259076961,55165.60825890095,73391.84355649125,68783.00256495492,63003,59788,62223.96948603575
2025-06-08,63953,65018.11621967111,55899.982063535164,74136.25037580705,67707.76045396853,61690,60283,63502.625017377984
2025-06-09,74569,77582.90036060708,68461.98641636886,86703.81430484529,79126.82327405579,63953,69209,73095.28822968778
2025-06-10,73235,75582.69675041857,66460.22439098367,84705.16910985348,79081.2585873752,74569,62134,73429.71505439756
2025-06-11,70733,73905.31455527994,64723.639066546064,83086.99004401382,77926.65487941777,73235,68127,72472.00018022445
2025-06-12,73440,77507.26262966516,68294.96728354244,86719.55797578787,79662.69375706206,70733,68191,72851.36436255575
2025-06-13,73842,76504.73043148924,67275.85234422034,85733.60851875813,78957.63680669769,73440,63003,72009.22987220797
2025-06-14,66062,66847.73530340857,57609.81633216597,76085.65427465117,68858.03923330136,73842,61690,66680.01031123553
