tm,actual,arimax_v2_oneshot,arimax_v2_rolling,ci_low,ci_high
2025-09-04,88135,83799.34693698984,88603.12185506728,69138.76709813326,98459.92677584641
2025-09-05,88196,83997.3353126673,87409.87528690668,69315.41126445022,98679.25936088439
2025-09-06,77341,72618.74498699188,78482.64210192297,57925.80432265918,87311.68565132457
2025-09-07,73125,70071.89451804083,74906.50446204294,55373.12881903625,84770.66021704543
2025-09-08,83765,81265.85134201963,83650.6548864835,66563.90851731945,95967.7941667198
2025-09-09,80100,78798.79863413749,82347.76082558346,64095.05398855147,93502.54327972351
2025-09-10,80012,77581.65060238974,80743.00781157007,62798.739457961594,92364.56174681788
2025-09-11,81243,80034.71304931592,81748.77466421845,65210.022948612306,94859.40315001954
2025-09-12,80265,79488.78171591616,80918.80531715689,64642.90398028979,94334.65945154254
2025-09-13,70110,68471.16397656927,71606.31516387576,53614.33436987663,83327.99358326191
2025-09-14,69712,67149.96623434236,69334.61394091675,52287.334674079604,82012.59779460511
2025-09-15,82311,81180.86273952966,83278.31396958962,66315.05883804642,96046.66664101291
2025-09-16,84004,80701.51579302426,82655.07843719561,65833.90729245308,95569.12429359544
2025-09-17,84378,78375.80924830768,82759.30267951294,63429.74938382857,93321.86911278678
2025-09-18,77178,77625.60768876558,81742.09770260275,62638.11291809588,92613.10245943528
2025-09-19,75214,75700.45683577159,75684.37216233948,60691.92562219142,90708.98804935176
2025-09-20,65418,64727.826578368855,66583.71738113726,49708.40575268321,79747.2474040545
2025-09-21,64083,62806.13895181227,64472.181879364885,47780.938120748535,77831.33978287599
2025-09-22,73830,75852.75521796,76765.63484760093,60824.386322251354,90881.12411366864
2025-09-23,74796,75584.06732377979,75718.67006240865,60553.89082524153,90614.24382231805
2025-09-24,79128,75339.90339369036,77303.94962748709,60231.968389720445,90447.83839766028
2025-09-25,77812,77080.02042335579,78388.03176549952,61930.983576790066,92229.05726992151
2025-09-26,74644,75660.61276809263,76406.07063134239,60490.685559585385,90830.53997659987
2025-09-27,66185,64987.47378924841,66143.92508942034,49806.716867866424,80168.23071063039
2025-09-28,64199,63167.64817370303,65090.9287526665,47981.13212038993,78354.16422701614
2025-09-29,73653,74764.21973851603,74681.62705271193,59574.53941549862,89953.90006153344
2025-09-30,73444,73291.97021791333,73799.64599213317,58100.47907432477,88483.46136150189
2025-10-01,73111,71973.25102242823,75082.98885173064,56704.673054946135,87241.82898991033
2025-10-02,70696,74679.98142154723,73996.87419281113,59370.62422976983,89989.33861332462
2025-10-03,63924,68249.38224326941,65157.78961238693,52919.27591230667,83579.48857423216
2025-10-04,60603,64056.30172869541,62942.87095948168,48715.42334205458,79397.18011533625
2025-10-05,56927,57495.45130960628,55880.15506589312,42148.83364389256,72842.06897532
2025-10-06,53033,68450.19144967818,67057.05815408591,53100.412852007976,83799.9700473484
2025-10-07,56492,67757.43070388642,57918.4513764025,52405.837864637695,83109.02354313515
2025-10-08,59071,67518.8140995308,62047.27038211947,52090.78596637143,82946.84223269018
2025-10-09,61180,68681.29819898357,60358.43409656055,53212.80351942358,84149.79287854357
2025-10-10,66232,72872.9862757214,67082.11016026007,57383.87905739146,88362.09349405134
2025-10-11,64027,63576.26904236891,60183.381692619165,48076.44529330151,79076.09279143631
2025-10-12,62650,60953.03743228096,62489.270433850455,45447.49328690377,76458.58157765814
2025-10-13,73176,72535.1554489615,68759.3805508837,57026.45327496049,88043.85762296249
2025-10-14,72660,71425.6619929786,72697.90847084273,55915.14196312452,86936.18202283267
2025-10-15,73212,71059.17335037576,73515.54585206433,55472.85036258051,86645.49633817101
2025-10-16,72937,73160.35512536977,72564.36830919585,57533.8688003088,88786.84145043073
2025-10-17,71620,72568.63937944475,71631.73037694361,56921.67271403125,88215.60604485824
