prd,c1,c1_name,value
201812,1D,건설업,123.9825
201901,1D,건설업,92.7589
201902,1D,건설업,82.5086
201903,1D,건설업,104.8118
201904,1D,건설업,101.5945
201905,1D,건설업,103.6747
201906,1D,건설업,117.0682
201907,1D,건설업,97.8947
201908,1D,건설업,97.5086
201909,1D,건설업,94.9412
201910,1D,건설업,100.1367
201911,1D,건설업,101.5441
201912,1D,건설업,130.9475
202001,1D,건설업,87.2479
202002,1D,건설업,87.2791
202003,1D,건설업,108.5627
202004,1D,건설업,99.1059
202005,1D,건설업,98.0867
202006,1D,건설업,113.7788
202007,1D,건설업,96.1649
202008,1D,건설업,87.8819
202009,1D,건설업,99.8226
202010,1D,건설업,91.5542
202011,1D,건설업,103.2171
202012,1D,건설업,127.2982
202101,1D,건설업,79.3583
202102,1D,건설업,78.6052
202103,1D,건설업,100.3961
202104,1D,건설업,93.6006
202105,1D,건설업,89.4752
202106,1D,건설업,105.1841
202107,1D,건설업,86.4375
202108,1D,건설업,85.9339
202109,1D,건설업,88.4362
202110,1D,건설업,89.4552
202111,1D,건설업,94.7938
202112,1D,건설업,127.1173
202201,1D,건설업,83.3322
202202,1D,건설업,75.1855
202203,1D,건설업,95.047
202204,1D,건설업,90.9746
202205,1D,건설업,95.7595
202206,1D,건설업,105.8891
202207,1D,건설업,87.2723
202208,1D,건설업,90.2559
202209,1D,건설업,91.959
202210,1D,건설업,97.6937
202211,1D,건설업,106.1635
202212,1D,건설업,127.8747
202301,1D,건설업,86.4557
202302,1D,건설업,90.4254
202303,1D,건설업,107.0617
202304,1D,건설업,102.6911
202305,1D,건설업,101.9111
202306,1D,건설업,115.8481
202307,1D,건설업,96.6591
202308,1D,건설업,99.5126
202309,1D,건설업,102.3305
202310,1D,건설업,101.4144
202311,1D,건설업,108.9817
202312,1D,건설업,124.1373
202401,1D,건설업,101.4155
202402,1D,건설업,90.8469
202403,1D,건설업,103.2659
202404,1D,건설업,103.1186
202405,1D,건설업,98.4526
202406,1D,건설업,109.0177
202407,1D,건설업,91.9133
202408,1D,건설업,90.3153
202409,1D,건설업,89.4279
202410,1D,건설업,91.8318
202411,1D,건설업,95.5978
202412,1D,건설업,115.3208
202501,1D,건설업,73.6933
202502,1D,건설업,72.9717
202503,1D,건설업,86.5212
202504,1D,건설업,81.7211
202505,1D,건설업,79.4161
202506,1D,건설업,95.6441
202507,1D,건설업,78.9558
202508,1D,건설업,74.3157
202509,1D,건설업,86.0264
202510,1D,건설업,69.2737
202511,1D,건설업,79.7442
202512,1D,건설업,107.9605
201001,1E,공공행정,69.9
201002,1E,공공행정,90.3
201003,1E,공공행정,101.5
201004,1E,공공행정,75.1
201005,1E,공공행정,73.5
